,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category,Venue ID,Cluster Label,Rating,Tips Count
71,Inwood,40.86768396449915,-73.92121042203897,Lotus Express,40.86628,-73.92456700000001,Chinese Restaurant,4b9aeeedf964a52086e435e3,-1,7.3,4
72,Inwood,40.86768396449915,-73.92121042203897,John's Fried Chicken,40.864795924590695,-73.91947030101764,Fast Food Restaurant,4bf4b935e5eba593d40c2090,-1,7.3,6
73,Inwood,40.86768396449915,-73.92121042203897,Empanadas Monumental,40.86524925422833,-73.91967324208582,Empanada Restaurant,4d9b780b91863704ffd522f9,-1,7.0,5
74,Inwood,40.86768396449915,-73.92121042203897,El Tina Seafood Restaurant,40.86445981289547,-73.91909750842994,Seafood Restaurant,4bb93e047421a5933fa7c240,-1,7.2,7
75,Inwood,40.86768396449915,-73.92121042203897,Republica,40.864979,-73.923078,Restaurant,5905688f75eee432182b4fc9,-1,6.8,2
76,Inwood,40.86768396449915,-73.92121042203897,Azteca,40.864,-73.91912427302933,Mexican Restaurant,4d824d2dbede548186840fd1,-1,7.0,4
77,Inwood,40.86768396449915,-73.92121042203897,Floridita Resturant,40.86397082388327,-73.91935389423473,Caribbean Restaurant,4e7e1c49b6345aca1fd69166,-1,6.2,3
78,Inwood,40.86768396449915,-73.92121042203897,Caridad Restaurant,40.866463,-73.925432,Caribbean Restaurant,4be65857bcef2d7f512005e5,-1,,2
79,Hamilton Heights,40.823604284811935,-73.94968791883366,Fumo,40.821411987945496,-73.95049884872275,Italian Restaurant,56d8e01d498ef1500ae7fbfe,-1,9.1,23
80,Hamilton Heights,40.823604284811935,-73.94968791883366,Wat’s On Your Plate,40.82563202528236,-73.94849438992527,Caribbean Restaurant,4eb32c34e5fa17fc85cc483f,-1,8.8,21
81,Hamilton Heights,40.823604284811935,-73.94968791883366,Oso,40.82194462624055,-73.95003838870035,Mexican Restaurant,57274808498e7db363dcc4bc,-1,8.2,19
